date_time_bucket, passenger_count
2010-05-01_00-00,27742
2010-05-01_00-30,26987
2010-05-01_01-00,24856
2010-05-01_01-30,22577
2010-05-01_02-00,20489
2010-05-01_02-30,17978
2010-05-01_03-00,14933
2010-05-01_03-30,12875
2010-05-01_04-00,11027
2010-05-01_04-30,6439
2010-05-01_05-00,4364
2010-05-01_05-30,3724
2010-05-01_06-00,3495
2010-05-01_06-30,4627
2010-05-01_07-00,5870
2010-05-01_07-30,7768
2010-05-01_08-00,8378
2010-05-01_08-30,12034
2010-05-01_09-00,13265
2010-05-01_09-30,16635
2010-05-01_10-00,16697
2010-05-01_10-30,19353
2010-05-01_11-00,19999
2010-05-01_11-30,21781
2010-05-01_12-00,21965
2010-05-01_12-30,23151
2010-05-01_13-00,23115
2010-05-01_13-30,23428
2010-05-01_14-00,22180
2010-05-01_14-30,22366
2010-05-01_15-00,22381
2010-05-01_15-30,22391
2010-05-01_16-00,20871
2010-05-01_16-30,19397
2010-05-01_17-00,22679
2010-05-01_17-30,26679
2010-05-01_18-00,27049
2010-05-01_18-30,29175
2010-05-01_19-00,31095
2010-05-01_19-30,29419
2010-05-01_20-00,28817
2010-05-01_20-30,28390
2010-05-01_21-00,28188
2010-05-01_21-30,28398
2010-05-01_22-00,29301
2010-05-01_22-30,30616
2010-05-01_23-00,31639
2010-05-01_23-30,30748
2010-05-02_00-00,30719
2010-05-02_00-30,30206
2010-05-02_01-00,27363
2010-05-02_01-30,24875
2010-05-02_02-00,23034
2010-05-02_02-30,20342
2010-05-02_03-00,17150
2010-05-02_03-30,14699
2010-05-02_04-00,12774
2010-05-02_04-30,7577
2010-05-02_05-00,5239
2010-05-02_05-30,4135
2010-05-02_06-00,3701
2010-05-02_06-30,3980
2010-05-02_07-00,3934
2010-05-02_07-30,5519
2010-05-02_08-00,6587
2010-05-02_08-30,8565
2010-05-02_09-00,9942
2010-05-02_09-30,12444
2010-05-02_10-00,14056
2010-05-02_10-30,17415
2010-05-02_11-00,17913
2010-05-02_11-30,19499
2010-05-02_12-00,20623
2010-05-02_12-30,22016
2010-05-02_13-00,21297
2010-05-02_13-30,21955
2010-05-02_14-00,22590
2010-05-02_14-30,21335
2010-05-02_15-00,20649
2010-05-02_15-30,19986
2010-05-02_16-00,19202
2010-05-02_16-30,18205
2010-05-02_17-00,19787
2010-05-02_17-30,21388
2010-05-02_18-00,22010
2010-05-02_18-30,22421
2010-05-02_19-00,21225
2010-05-02_19-30,19632
2010-05-02_20-00,18543
2010-05-02_20-30,18387
2010-05-02_21-00,17875
2010-05-02_21-30,17789
2010-05-02_22-00,15841
2010-05-02_22-30,15514
2010-05-02_23-00,14511
2010-05-02_23-30,11809
2010-05-03_00-00,9779
2010-05-03_00-30,7647
2010-05-03_01-00,6516
2010-05-03_01-30,4417
2010-05-03_02-00,3668
2010-05-03_02-30,2921
2010-05-03_03-00,2240
2010-05-03_03-30,2050
2010-05-03_04-00,2559
2010-05-03_04-30,2248
2010-05-03_05-00,2619
2010-05-03_05-30,4349
2010-05-03_06-00,6901
2010-05-03_06-30,12387
2010-05-03_07-00,16043
2010-05-03_07-30,19620
2010-05-03_08-00,21063
2010-05-03_08-30,21140
2010-05-03_09-00,21046
2010-05-03_09-30,21079
2010-05-03_10-00,19255
2010-05-03_10-30,18373
2010-05-03_11-00,17029
2010-05-03_11-30,18634
2010-05-03_12-00,18472
2010-05-03_12-30,18435
2010-05-03_13-00,17756
2010-05-03_13-30,18832
2010-05-03_14-00,19327
2010-05-03_14-30,21086
2010-05-03_15-00,21418
2010-05-03_15-30,22228
2010-05-03_16-00,18106
2010-05-03_16-30,17567
2010-05-03_17-00,20752
2010-05-03_17-30,23878
2010-05-03_18-00,25519
2010-05-03_18-30,26315
2010-05-03_19-00,24872
2010-05-03_19-30,22912
2010-05-03_20-00,22391
2010-05-03_20-30,21706
2010-05-03_21-00,21087
2010-05-03_21-30,19687
2010-05-03_22-00,18825
2010-05-03_22-30,17408
2010-05-03_23-00,15381
2010-05-03_23-30,12138
2010-05-04_00-00,10086
2010-05-04_00-30,8085
2010-05-04_01-00,6802
2010-05-04_01-30,5300
2010-05-04_02-00,4465
2010-05-04_02-30,3245
2010-05-04_03-00,2705
2010-05-04_03-30,2275
2010-05-04_04-00,2285
2010-05-04_04-30,1870
2010-05-04_05-00,2166
2010-05-04_05-30,3923
2010-05-04_06-00,6505
2010-05-04_06-30,11592
2010-05-04_07-00,15028
2010-05-04_07-30,20612
2010-05-04_08-00,22897
2010-05-04_08-30,23313
2010-05-04_09-00,21925
2010-05-04_09-30,21317
2010-05-04_10-00,19068
2010-05-04_10-30,19212
2010-05-04_11-00,18488
2010-05-04_11-30,19587
2010-05-04_12-00,20316
2010-05-04_12-30,20309
2010-05-04_13-00,18820
2010-05-04_13-30,20097
2010-05-04_14-00,20403
2010-05-04_14-30,21908
2010-05-04_15-00,21646
2010-05-04_15-30,20293
2010-05-04_16-00,20412
2010-05-04_16-30,17146
2010-05-04_17-00,19517
2010-05-04_17-30,22136
2010-05-04_18-00,25923
2010-05-04_18-30,26714
2010-05-04_19-00,26906
2010-05-04_19-30,25951
2010-05-04_20-00,25765
2010-05-04_20-30,25271
2010-05-04_21-00,24355
2010-05-04_21-30,23534
2010-05-04_22-00,23316
2010-05-04_22-30,22062
2010-05-04_23-00,18470
2010-05-04_23-30,15809
2010-05-05_00-00,13929
2010-05-05_00-30,9952
2010-05-05_01-00,7595
2010-05-05_01-30,6155
2010-05-05_02-00,4907
2010-05-05_02-30,3717
2010-05-05_03-00,3255
2010-05-05_03-30,2750
2010-05-05_04-00,2829
2010-05-05_04-30,2167
2010-05-05_05-00,2156
2010-05-05_05-30,3802
2010-05-05_06-00,6410
2010-05-05_06-30,11539
2010-05-05_07-00,15303
2010-05-05_07-30,20703
2010-05-05_08-00,22990
2010-05-05_08-30,22797
2010-05-05_09-00,21722
2010-05-05_09-30,21003
2010-05-05_10-00,19203
2010-05-05_10-30,19364
2010-05-05_11-00,18661
2010-05-05_11-30,19792
2010-05-05_12-00,20363
2010-05-05_12-30,19755
2010-05-05_13-00,19104
2010-05-05_13-30,20147
2010-05-05_14-00,20551
2010-05-05_14-30,21380
2010-05-05_15-00,21198
2010-05-05_15-30,20163
2010-05-05_16-00,17855
2010-05-05_16-30,17427
2010-05-05_17-00,19760
