date_time_bucket, passenger_count
2014-07-01_00-00,10844
2014-07-01_00-30,8127
2014-07-01_01-00,6210
2014-07-01_01-30,4656
2014-07-01_02-00,3820
2014-07-01_02-30,2873
2014-07-01_03-00,2369
2014-07-01_03-30,2064
2014-07-01_04-00,2221
2014-07-01_04-30,2158
2014-07-01_05-00,2515
2014-07-01_05-30,4364
2014-07-01_06-00,6526
2014-07-01_06-30,11039
2014-07-01_07-00,13857
2014-07-01_07-30,15865
2014-07-01_08-00,17920
2014-07-01_08-30,20346
2014-07-01_09-00,19539
2014-07-01_09-30,20107
2014-07-01_10-00,18984
2014-07-01_10-30,17720
2014-07-01_11-00,17249
2014-07-01_11-30,18463
2014-07-01_12-00,18908
2014-07-01_12-30,18886
2014-07-01_13-00,18178
2014-07-01_13-30,19459
2014-07-01_14-00,19546
2014-07-01_14-30,20591
2014-07-01_15-00,19380
2014-07-01_15-30,18544
2014-07-01_16-00,16228
2014-07-01_16-30,15013
2014-07-01_17-00,17203
2014-07-01_17-30,19525
2014-07-01_18-00,22966
2014-07-01_18-30,27598
2014-07-01_19-00,26827
2014-07-01_19-30,24904
2014-07-01_20-00,22875
2014-07-01_20-30,20394
2014-07-01_21-00,23401
2014-07-01_21-30,24439
2014-07-01_22-00,23318
2014-07-01_22-30,21733
2014-07-01_23-00,20104
2014-07-01_23-30,16111
2014-07-02_00-00,13370
2014-07-02_00-30,9945
2014-07-02_01-00,7571
2014-07-02_01-30,5917
2014-07-02_02-00,4820
2014-07-02_02-30,3634
2014-07-02_03-00,2993
2014-07-02_03-30,2535
2014-07-02_04-00,2570
2014-07-02_04-30,2485
2014-07-02_05-00,2868
2014-07-02_05-30,4482
2014-07-02_06-00,6788
2014-07-02_06-30,11078
2014-07-02_07-00,13729
2014-07-02_07-30,16700
2014-07-02_08-00,19156
2014-07-02_08-30,19953
2014-07-02_09-00,19502
2014-07-02_09-30,18994
2014-07-02_10-00,17311
2014-07-02_10-30,17904
2014-07-02_11-00,17133
2014-07-02_11-30,18589
2014-07-02_12-00,19134
2014-07-02_12-30,19259
2014-07-02_13-00,18667
2014-07-02_13-30,19078
2014-07-02_14-00,18546
2014-07-02_14-30,18593
2014-07-02_15-00,17967
2014-07-02_15-30,16624
2014-07-02_16-00,14634
2014-07-02_16-30,13888
2014-07-02_17-00,17430
2014-07-02_17-30,21919
2014-07-02_18-00,23633
2014-07-02_18-30,24512
2014-07-02_19-00,24887
2014-07-02_19-30,26872
2014-07-02_20-00,22009
2014-07-02_20-30,18259
2014-07-02_21-00,20844
2014-07-02_21-30,22576
2014-07-02_22-00,22401
2014-07-02_22-30,19056
2014-07-02_23-00,17518
2014-07-02_23-30,15307
2014-07-03_00-00,12646
2014-07-03_00-30,10562
2014-07-03_01-00,8416
2014-07-03_01-30,7098
2014-07-03_02-00,5826
2014-07-03_02-30,4383
2014-07-03_03-00,3270
2014-07-03_03-30,2948
2014-07-03_04-00,3146
2014-07-03_04-30,3077
2014-07-03_05-00,3000
2014-07-03_05-30,4592
2014-07-03_06-00,6486
2014-07-03_06-30,10113
