date_time_bucket,passenger_count
2019-02-01 00:00,6493
2019-02-01 00:30,4615
2019-02-01 01:00,3639
2019-02-01 01:30,2846
2019-02-01 02:00,2115
2019-02-01 02:30,1783
2019-02-01 03:00,1421
2019-02-01 03:30,1306
2019-02-01 04:00,1394
2019-02-01 04:30,1261
2019-02-01 05:00,1517
2019-02-01 05:30,2912
2019-02-01 06:00,4252
2019-02-01 06:30,6776
2019-02-01 07:00,9116
2019-02-01 07:30,12052
2019-02-01 08:00,12925
2019-02-01 08:30,13188
2019-02-01 09:00,12286
2019-02-01 09:30,11372
2019-02-01 10:00,10439
2019-02-01 10:30,10318
2019-02-01 11:00,10039
2019-02-01 11:30,11208
2019-02-01 12:00,11267
2019-02-01 12:30,10848
2019-02-01 13:00,10229
2019-02-01 13:30,11561
2019-02-01 14:00,12278
2019-02-01 14:30,13198
2019-02-01 15:00,13216
2019-02-01 15:30,13201
2019-02-01 16:00,11821
2019-02-01 16:30,11957
2019-02-01 17:00,12996
2019-02-01 17:30,14171
2019-02-01 18:00,15262
2019-02-01 18:30,15907
2019-02-01 19:00,15552
2019-02-01 19:30,14812
2019-02-01 20:00,12941
2019-02-01 20:30,12230
2019-02-01 21:00,12199
2019-02-01 21:30,12457
2019-02-01 22:00,13400
2019-02-01 22:30,12508
2019-02-01 23:00,11739
2019-02-01 23:30,10852
2019-02-02 00:00,10109
2019-02-02 00:30,8718
2019-02-02 01:00,8278
2019-02-02 01:30,7186
2019-02-02 02:00,6348
2019-02-02 02:30,5496
2019-02-02 03:00,4663
2019-02-02 03:30,4088
2019-02-02 04:00,3513
2019-02-02 04:30,1898
2019-02-02 05:00,1357
2019-02-02 05:30,1450
2019-02-02 06:00,1890
2019-02-02 06:30,2389
2019-02-02 07:00,2617
2019-02-02 07:30,3896
2019-02-02 08:00,4533
2019-02-02 08:30,6408
2019-02-02 09:00,6946
2019-02-02 09:30,9182
2019-02-02 10:00,9505
2019-02-02 10:30,10596
2019-02-02 11:00,10271
2019-02-02 11:30,11534
2019-02-02 12:00,11760
2019-02-02 12:30,12193
2019-02-02 13:00,12484
2019-02-02 13:30,12286
